symbol,current_price_usd,daily_volume_traded,daily_perc_change,daily_hour_high,daily_hour_low
tBTTBTC,4e-8,37588665.0991744,0,5e-8,4e-8
tBTCUST,7565.5,21.87957365,-2.4899999999999998,7842.9,7522.1
tETHUST,151.92,958.30848158,-2.92,157.07,151.1
tCLOUSD,6.5e-4,3073583.976244,0.16,7.32e-4,6.1234e-4
tCLOBTC,9e-8,1013353.17460252,-0.01,1.2e-7,1e-7
tIMPUSD,0.001301,1250338.19865698,0,0.00677,0.00677
tIMPETH,1.62e-5,84417.18435754,0,3.5e-5,3.5e-5
tLTCUST,47.612,975.28078205,-1.9300000000000002,48.804,47.372
tEOSUST,2.7402,10966.4764294,-0.44,2.7881,2.7338
tBABUST,218.56,15887.77331002,-2.77,224.14,217.77
tSCRUSD,0.00175,0,-0.8500000000000001,0.001765,0.00175
tSCRETH,9.42e-6,0,0,1e-5,1e-5
tGNOUSD,13.999,32380.80468892,0,13.629,13.561
tGNOETH,0.09244,1223.12504825,0,0.091462,0.091462
tGENUSD,0.07611,1480036.10192,-0.02,0.085184,0.085171
tGENETH,5.1107e-4,130968.80444907,0,5.8809e-4,5.7871e-4
tATOUSD,3.86,1120.86111634,13.71,4.33,3.7342
tATOBTC,5.0637e-4,7512.276562,-2.7199999999999998,5.2471e-4,5.1043e-4
tATOETH,0.025007,169634.64143247,0,0.024674,0.024674
tWBTUSD,6463.6,547.83234296,0,6855.8,6855.8
tXCHUSD,0.9981,811191.89149876,0,1.0093,1.0093
tEUSUSD,1.0945,44559.33035081,0,1.0938,1.0938
tWBTETH,46.5,14.01024338,1.02,49.5,48.85
tXCHETH,0.0065277,10856.70448982,0.2,0.0064944,0.0064774
tEUSETH,6.91e-6,2994.35600578,0,0.0073257,0.0073257
tLEOUSD,0.9187,22158.88877643,-0.9400000000000001,0.92884,0.91821
tLEOBTC,1.2031e-4,90054.80839944,2.22,1.2093e-4,1.1705e-4
tLEOUST,0.91203,249032.12827121,-0.8099999999999999,0.95189,0.905
tLEOEOS,0.32299,5090.43401677,0,0.38646,0.38646
tLEOETH,0.005994,18399.4838921,0,0.0059368,0.0059364
tASTUSD,0.012583,6346038.20074815,0,0.022122,0.022122
tASTETH,1.1003e-4,1004178.12820876,0,1.4566e-4,1.4566e-4
tFOAUSD,0.014,3604517,-8.84,0.020295,0.0185
tFOAETH,5.701e-5,34232.31104337,0,2.3175e-4,2.3175e-4
tUFRUSD,0.019213,2806422.98335067,-6.419999999999999,0.0215,0.02012
tUFRETH,1.3347e-4,11820.53262904,0,1.45e-4,1.45e-4
tZBTUSD,0.19028,697796.85313615,-3.32,0.20454,0.1935
tZBTUST,0.1882,17309.453,-5.18,0.20653,0.191
tOKBUSD,0.5,400.88433819,0,6.1329,5.7
tUSKUSD,0.411,16006,0,0.97,0.96
tGTXUSD,0.2,10000,0,4.3,4.3
tKANUSD,0.002019,51835.96699801,-1.55,0.00207,0.002019
tOKBUST,1.3111,385,-3.53,1.36,1.312
tOKBETH,0.00323,220,-92,0.04,0.0032
tOKBBTC,1.77e-4,0,0,7.1e-5,7.1e-5
tUSKUST,0.001515,1173.213293,0,0.94,0.94
tUSKETH,0.004,275077.66,0,0.00475,0.0047
tUSKBTC,1.1e-6,215,0,9.3e-5,9.3e-5
